nombre,precio,descripcion,link
Auriculares NoiseCancel Pro,249.99,Cancelación activa de ruido - 40h batería - Sonido 360°,/producto/1
Parlante Bluetooth Portátil,79.99,30W - Resistente al agua - 12h batería - Conecta 2 a la vez,/producto/2
Micrófono Condenser USB,129.99,Plug & play - Patrón cardioide - Ideal streaming/podcast,/producto/3
Earbuds Inalámbricos Pro,199.99,Cancelación ruido - 30h totales - IPX5 - Estuche carga inalámbrica,/producto/4
Teclado Mecánico Full RGB,179.99,Switches Cherry MX - Retroiluminación RGB - Aluminio anodizado,/producto/5
Control Inalámbrico Pro,69.99,Compatibilidad PC/PS/Xbox - Batería 40h - Gatillos hápticos,/producto/6
Silla Gaming Ergonómica,399.99,Soporte lumbar ajustable - Reposabrazos 4D - Base reforzada,/producto/7
Mousepad XXL RGB,39.99,900x400mm - Superficie speed - Iluminación direccionable - Antideslizante,/producto/8
"Monitor UltraWide 34""",599.99,UWQHD 144Hz - Curvo 1500R - HDR400 - USB-C 65W,/producto/9
"Monitor 27"" 4K IPS",349.99,4K UHD - 60Hz - HDR10 - Altavoces integrados - Ideal diseño,/producto/10
"Monitor Portátil 15.6""",199.99,1080p IPS - USB-C - Peso 800g - Ideal laptop dual screen,/producto/11
Soporte Monitor Dual,89.99,Brazo articulado 2 monitores - 4-13kg c/u - Gestión cables,/producto/12
Mouse Ergonomic Pro,89.99,Sensor 16000 DPI - Batería 80h - Ultraligero 63g,/producto/13
Hub USB-C 7 Puertos,59.99,HDMI 4K - SD/microSD - PD 100W - 10Gbps,/producto/14
Base Laptop Adjustable,49.99,Aluminio - 6 niveles altura - Ventilación integrada - Plegable,/producto/15
"Cable USB-C Trenzado 2m",19.99,"Carga rápida 100W - Datos 10Gbps - Nylon trenzado - 5 unidades",/producto/16
Webcam 4K Pro Stream,149.99,4K 30fps - Auto-focus - Micrófono dual - Plug & play,/producto/17
Cámara DSLR Starter,499.99,24.2MP - Lente 18-55mm - WiFi - 4K video - Ideal principiantes,/producto/18
Gimbal Estabilizador 3 Ejes,89.99,Para smartphone/cámara acción - Bluetooth - 8h batería,/producto/19
Micrófono Lavalier Inalámbrico,39.99,Plug & play - 50m alcance - 8h batería - Ideal entrevistas,/producto/20
